"","rule.id","a.rule","p.rule","qk","qK","tk","tK","AHRk.H1","AHRK.H1","gk","H0.pr.S","H1.pr.S","H0.cpk","H1.cpk","H1.pow.nbind","H1.pow.bind","H1.powloss","H0.AE","H1.AE","H0.AN","H1.AN","H0.AL","H1.AL"
"tmp",2,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.05,0.00000000000000083593411342146,0.00000000000000000256718882544002,0.05,0.05,0.900085213430627,0.900085213430627,0,508,508,680,680,61.7299288904674,64.880520736181
"tmp.1",3,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.1,0.0000000000031293516188957,0.0000000000000200855230601736,0.1,0.1,0.900085213430627,0.900085213430625,0.00000000000000233146835171283,507.999999998569,507.999999999991,679.999999998374,679.99999999999,61.7299288903185,64.88052073618
"tmp.2",4,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.15,0.000000000417102274545155,0.00000000000439367194610277,0.15,0.15,0.900085213430627,0.900085213429897,0.00000000000072997163869104,507.999999809301,507.999999997991,679.999999783255,679.999999997748,61.7299288706213,64.8805207359608
"tmp.3",5,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.2,0.0000000139728919859733,0.000000000217880575605355,0.2,0.2,0.900085213430627,0.90008521338312,0.0000000000475075534467351,507.999993611594,507.999999900385,679.999992739064,679.999999888327,61.7299282256245,64.8805207252641
"tmp.4",6,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.25,0.000000218091894523059,0.00000000475473067939509,0.25,0.25,0.900085213430627,0.900085212151511,0.00000000127911636838007,507.999900288386,507.999997826137,679.999886669752,679.999997562991,61.7299185134562,64.8805204979452
"tmp.5",7,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.3,0.00000209045814563243,0.0000000614981202295409,0.3,0.3,0.900085213430627,0.900085193800777,0.0000000196298504118175,507.999044242536,507.999971883059,679.998913704975,679.999968479505,61.7298294245625,64.880517654818
"tmp.6",8,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.35,0.000014262080439546,0.000000553081728431962,0.35,0.35,0.900085213430627,0.9000850095369,0.000000203893727346305,507.993479376823,507.999747131034,679.992588788704,679.999716521259,61.729250287674,64.8804930240241
"tmp.7",9,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.4,0.0000756214391990325,0.00000380582528007744,0.4,0.4,0.900085213430627,0.900083624723087,0.000001588707540634,507.965425877998,507.998259976682,679.960703736963,679.998049346956,61.7263307534282,64.8803300453267
"tmp.8",10,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.45,0.00032965617118901,0.0000213126524043402,0.45,0.45,0.900085213430627,0.900075290273993,0.00000992315663428389,507.849281198532,507.990255855321,679.82869599214,679.989076327148,61.7142435492159,64.8794528658521
"tmp.9",11,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.5,0.00122691088446542,0.000101287069885639,0.5,0.5,0.900085213430627,0.900033238862847,0.0000519745677800554,507.439056343622,507.953691551648,679.362442538121,679.948085916545,61.6715513517166,64.8754457481136
"tmp.10",12,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.55,0.00400089320815805,0.000420704820848103,0.55,0.55,0.900085213430627,0.899849590811695,0.00023562261893173,506.17079162523,507.807653755908,677.920957951113,679.784370253736,61.5395627430525,64.8594413234969
"tmp.11",13,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.6,0.0116360740301985,0.00155958314749464,0.6,0.6,0.900085213430627,0.899139550803809,0.000945662626817945,502.679986953393,507.286958584965,673.953378424744,679.200644961249,61.1762738767202,64.8023778313412
"tmp.12",14,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.65,0.0305330144868865,0.00523627195298446,0.65,0.65,0.900085213430627,0.896671341291484,0.00341387213914324,494.040305776596,505.605976463095,664.133687730513,677.316180046821,60.2771402169329,64.6181573594066
"tmp.13",15,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.7,0.0727271485882489,0.0160732979810043,0.7,0.7,0.900085213430627,0.88888512411993,0.0112000893106967,474.749147665453,500.651288163085,642.207739086289,671.761727003077,58.2695048379111,64.0751682311809
"tmp.14",16,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.75,0.157325858335438,0.0452929355279378,0.75,0.75,0.900085213430627,0.866534740198883,0.0335504732317444,436.070617569038,487.292069876627,598.246487012044,656.785376084475,54.2442210792722,62.6111184561175
"tmp.15",17,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.8,0.307090367564121,0.116842328167047,0.8,0.8,0.900085213430627,0.808543646106091,0.0915415673245364,367.598283949684,454.579687562026,520.422187307562,620.113161706216,47.1182891540659,59.0261365400701
"tmp.16",18,0,0,0.1,1,14.775526356567,64.880520736181,0.82471085102567,0.750000735721012,0.85,0.532009303012312,0.272096573202268,0.85,0.85,0.900085213430627,0.675785130960999,0.224300082469628,264.765346662771,383.597446731923,403.544305280084,540.538524563117,36.4164410930788,51.2471234651691
"tmp.17",19,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.05,0.00000000118522584390674,0.00000000000236418993953031,0.05,0.05,0.900085213430627,0.90008521343049,0.000000000000137667655053519,507.999999488219,507.999999998979,679.999999434063,679.999999998894,61.7299288384815,64.8805207360719
"tmp.18",20,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.1,0.000000165125026948158,0.000000000730238573332419,0.0999999999999999,0.0999999999999999,0.900085213430627,0.900085213348566,0.0000000000820613577090512,507.999928699013,507.999999684683,679.999921153958,679.999999658431,61.7299216478092,64.8805207024786
"tmp.19",21,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.15,0.00000306560309296346,0.000000023123084692913,0.15,0.15,0.900085213430627,0.90008520962193,0.00000000380869713545451,507.998676272584,507.999990015452,679.998536196029,679.999989184171,61.7297944280182,64.8805196689904
"tmp.20",22,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.2,0.000024740198288435,0.000000284540589922242,0.2,0.2,0.900085213430627,0.900085152028587,0.0000000614020405631521,507.989317182379,507.999877135373,679.988186728879,679.999866906059,61.7288437442318,64.8805076038917
"tmp.21",23,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.25,0.000126001693945516,0.00000207652315389196,0.25,0.25,0.900085213430627,0.900084661344118,0.00000055208650873162,507.945592468554,507.999103357302,679.939835075092,679.999028705708,61.724402246652,64.8804248992292
"tmp.22",24,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.3,0.000478398823311942,0.0000108670324845135,0.3,0.3,0.900085213430627,0.900081789280997,0.00000342414963039328,507.793427388094,507.995307615373,679.771567918021,679.994916942485,61.7089455225825,64.8800191943287
"tmp.23",25,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.35,0.00148003345291663,0.0000451624278522215,0.35,0.35,0.900085213430627,0.900068794001363,0.000016419429264336,507.360921555031,507.980498863653,679.293294409238,679.978875261611,61.6650121621829,64.8784363725105
"tmp.24",26,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.4,0.00393384946537665,0.000158465828216173,0.4,0.4,0.900085213430627,0.900020029836354,0.0000651835942729884,506.30136380085,507.931574455376,678.121614477753,679.925877564076,61.5573837116047,64.8732071254859
"tmp.25",27,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.45,0.00929274272079138,0.000488444386338412,0.45,0.45,0.900085213430627,0.899861275521262,0.000223937909365479,503.987393693162,507.789089713979,675.562780542994,679.771530000275,61.3223337425096,64.8579777556022
"tmp.26",28,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.5,0.0199584137183955,0.001358941348843,0.5,0.5,0.900085213430627,0.899398974208185,0.000686239222442597,499.381956956397,507.41320912557,670.469997465432,679.364354800095,60.8545196773886,64.8178020535806
"tmp.27",29,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.55,0.0395890697092172,0.00347916622065352,0.55,0.55,0.900085213430627,0.898168606606617,0.00191660682401029,490.90543969956,506.497696025922,661.096496946434,678.372619017212,59.9934864632455,64.7199481536387
"tmp.28",30,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.6,0.073317303577181,0.00831292648127959,0.6,0.6,0.900085213430627,0.895129299419514,0.00495591401111306,476.341588315373,504.410478345383,644.991501891043,676.111626289471,58.5141100415772,64.4968575281229
"tmp.29",31,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.65,0.127693411423129,0.0187297935326476,0.65,0.65,0.900085213430627,0.88808270197008,0.0120025114605474,452.861984947493,499.912475152603,619.02729186396,671.23913378279,56.1290835333913,64.0160919830597
"tmp.30",32,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.7,0.210039079001302,0.0400899865154424,0.7,0.7,0.900085213430627,0.8726317077108,0.027453505719827,417.305125687238,490.689143822632,579.707813281984,661.247897479525,52.5172656268098,63.0302634444608
"tmp.31",33,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.75,0.326715175804737,0.0819068672501628,0.75,0.75,0.900085213430627,0.840457577970517,0.0596276354601101,366.924387087515,472.63261472138,523.995795586139,641.68803970003,47.3996580088422,61.1003054868395
"tmp.32",34,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.8,0.479603275755131,0.159988190329513,0.8,0.8,0.900085213430627,0.776857189584637,0.12322802384599,300.907305528934,438.917099415716,450.992800428783,605.165478766909,40.6937317185508,57.4966490645786
"tmp.33",35,0,0,0.15,1,18.7279162445964,64.880520736181,0.805625114886891,0.750000735721012,0.85,0.660048826454374,0.297792297323042,0.85,0.85,0.900085213430627,0.658533755950197,0.24155145748043,222.990916737001,379.41328601591,364.831315864991,540.707568782586,32.7790898151406,51.1366306171903
"tmp.34",36,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.05,0.00000125952050218282,0.0000000021892882174622,0.05,0.05,0.900085213430627,0.900085213305071,0.000000000125556565144791,507.999488130868,507.999999110273,679.999445927952,679.99999906315,61.7298778228764,64.8805206428329
"tmp.35",37,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.1,0.0000344607722672769,0.000000135471666225232,0.1,0.1,0.900085213430627,0.900085198471337,0.000000014959290250971,507.985995142151,507.999944944315,679.984840460609,679.999942028387,61.7285316693651,64.8805149598664
"tmp.36",38,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.15,0.000241743540189963,0.00000164065490211514,0.15,0.15,0.900085213430627,0.900084948178921,0.000000265251706044189,507.901755425267,507.999333237848,679.893655293283,679.999297923956,61.7201273348581,64.8804507810445
"tmp.37",39,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.2,0.000967218822088604,0.0000100962125005588,0.2,0.2,0.900085213430627,0.900083076487528,0.00000213694309880719,507.606922270703,507.99589689924,679.574513544868,679.995679585679,61.6907127481721,64.8800902483782
"tmp.38",40,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.25,0.00283869107673393,0.0000427405591391326,0.25,0.25,0.900085213430627,0.900074073369003,0.0000111400616237267,506.846355946415,507.982630236766,678.75123955834,679.981710277613,61.6148334119103,64.8786983409617
"tmp.39",41,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.3,0.0068377439405025,0.000142640782903349,0.3,0.3,0.900085213430627,0.900041167164346,0.0000440462662808505,505.22114086258,507.942030785828,676.992027694353,679.938960547713,61.4526907585927,64.8744387408569
"tmp.40",42,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.35,0.0143524326892565,0.000403837835521098,0.35,0.35,0.900085213430627,0.8999413640169,0.000143849413727137,502.167171355086,507.835880303644,673.686262541623,679.82718799076,61.1480057208883,64.8633016787883
"tmp.41",43,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.4,0.0272042882336244,0.00101364805076705,0.4,0.4,0.900085213430627,0.899676754104093,0.000408459326534438,496.944177261855,507.588053432168,668.032639666884,679.566235402165,60.6269238475031,64.8373002589822
"tmp.42",44,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.45,0.0476382225050269,0.00232135069753893,0.45,0.45,0.900085213430627,0.899042683020489,0.0010425304101378,488.639826373957,507.05660307652,659.043606307547,679.006637707249,59.7984245919667,64.7815417218995
"tmp.43",45,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.5,0.0782597063615423,0.00494703115085627,0.5,0.5,0.900085213430627,0.897638020371997,0.00244719305863061,476.195255334669,505.989526540292,645.572997258762,677.883045327216,58.5568684510109,64.6695865298799
"tmp.44",46,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.55,0.121897705833442,0.00995108266097994,0.55,0.55,0.900085213430627,0.894714544907519,0.0053706685231083,458.460772349289,503.955880006578,626.376330196138,675.741690259061,56.7875542506531,64.4562210584708
"tmp.45",47,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.6,0.181363527776939,0.0190947177451107,0.6,0.6,0.900085213430627,0.888930027502664,0.0111551859279636,434.293862311452,500.239906708387,600.216891191844,671.828906929562,54.3764968127812,64.0663497699417
"tmp.46",48,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.65,0.259063818909949,0.0352356814290457,0.65,0.65,0.900085213430627,0.877951260846228,0.0221339525843988,402.716463994997,493.680219067236,566.035979197704,664.921796896907,51.2261180113401,63.378122576746
"tmp.47",49,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.7,0.356408956153278,0.0629206799507978,0.7,0.7,0.900085213430627,0.857828194356201,0.0422570190744264,363.155400219308,482.429035667996,523.213159351691,653.074714232693,47.2792337420163,62.1976745440665
"tmp.48",50,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.75,0.472934323240489,0.109249275552726,0.75,0.75,0.900085213430627,0.82203366926241,0.0780515441682175,315.799491035065,463.601094415372,471.952819661654,633.24958397734,42.554681993899,60.2222906735514
"tmp.49",51,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.8,0.605021806521415,0.185054974635037,0.8,0.8,0.900085213430627,0.760069293974015,0.140015919456612,262.119137829697,432.793658308321,413.846594115806,600.810485859236,37.1991601393979,56.9900460238974
"tmp.50",52,0,0,0.2,1,22.2419765530531,64.880520736181,0.793986556446158,0.750000735721012,0.85,0.744085222463023,0.306202623886205,0.85,0.85,0.900085213430627,0.655747269020407,0.24433794441022,205.603765591027,383.559253652646,352.671606061157,548.968467008264,31.5607972549079,51.8244866286194
"tmp.51",53,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.05,0.0000747012382872451,0.000000130869874817154,0.05,0.05,0.900085213430627,0.900085206107799,0.00000000732282845472554,507.971538828213,507.999950138578,679.969736008388,679.999948804769,61.7271293104361,64.8805155802416
"tmp.52",54,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.1,0.000781290386165762,0.00000309428911351162,0.0999999999999999,0.0999999999999999,0.900085213430627,0.90008488027666,0.000000333153967524424,507.702328362871,507.998821075848,679.683472908406,679.998789539264,61.7006484526336,64.8803988290798
"tmp.53",55,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.15,0.00308839472662886,0.0000210824751308047,0.15,0.15,0.900085213430627,0.900081890719832,0.00000332271079495072,506.823321609154,507.991967576975,678.748787111908,679.991752707188,61.6141850500201,64.879690140417
"tmp.54",56,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.2,0.00817916299660096,0.0000856862281988219,0.2,0.2,0.900085213430627,0.900067534095963,0.0000176793346641224,504.883738898295,507.967353547056,676.686345153061,679.966480244397,61.4233982100758,64.8771449172731
"tmp.55",57,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.25,0.0173715058149367,0.000261803008429555,0.25,0.25,0.900085213430627,0.900018688766944,0.0000665246636835093,501.381456284509,507.900253053788,672.962216981589,679.897584792291,61.0788965661216,64.8702063651953
"tmp.56",58,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.3,0.0320575367121674,0.000667336887255156,0.3,0.3,0.900085213430627,0.899884281909999,0.000200931520628389,495.786078512664,507.745744645956,667.012410444524,679.738943237017,60.5285078472451,64.8542293644015
"tmp.57",59,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.35,0.0536459959988389,0.00150104294361062,0.35,0.35,0.900085213430627,0.899563731344413,0.000521482086213831,487.560875524442,507.428102638484,658.266197319422,679.412804208127,59.7194366603154,64.8213834715682
"tmp.58",60,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.4,0.0835011200685949,0.00308188394852389,0.4,0.4,0.900085213430627,0.898873613683551,0.00121159974707619,476.186073253865,506.825802215612,646.170879421879,678.794392063653,58.6005554865225,64.7591023668095
"tmp.59",61,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.45,0.122873351120679,0.00590482830963602,0.45,0.45,0.900085213430627,0.897496994539018,0.00258821889160921,461.185253223021,505.750260414029,630.219860434392,677.690079188,57.1250014747063,64.6478855569369
"tmp.60",62,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.5,0.172817309329988,0.0107204383444126,0.5,0.5,0.900085213430627,0.89490704083436,0.00517817259626674,442.156605145275,503.915512990779,609.985878147408,675.80625170674,55.2532506002324,64.458162800429
"tmp.61",63,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.55,0.234091483187,0.0186494243256757,0.55,0.55,0.900085213430627,0.890252075033555,0.00983313839707245,418.811144905753,500.894569331918,585.161643286477,672.704496875649,52.9568769724378,64.1457809701284
"tmp.62",64,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.6,0.307032161249252,0.0313495297108393,0.6,0.6,0.900085213430627,0.88218200046995,0.0179032129606768,391.020746564035,496.05582918017,555.610914012537,667.736318936264,50.2232774972906,63.6454292007339
"tmp.63",65,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.65,0.391390835192792,0.0512623702317566,0.65,0.65,0.900085213430627,0.86858401495325,0.0315011984773769,358.880091791546,488.469036941701,521.434369430834,659.946577671433,47.0617655269827,62.8609140580526
"tmp.64",66,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.7,0.486118748966566,0.0819852294502083,0.7,0.7,0.900085213430627,0.84617509495003,0.0539101184805976,322.788756643738,476.763627579471,483.056895996534,647.928045007739,43.5116453162441,61.6505117421186
"tmp.65",67,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.75,0.589072606645321,0.128842629028764,0.75,0.75,0.900085213430627,0.809863388783797,0.0902218246468304,283.563336868133,458.910958340041,441.346815191196,629.597811374002,39.6532412159308,59.804449675914
"tmp.66",68,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.8,0.696597781737615,0.199782354419662,0.8,0.8,0.900085213430627,0.751730317122155,0.148354896308473,242.596245157969,431.882922966109,397.78473949218,601.846767738977,35.6235177474081,57.0096053779167
"tmp.67",69,0,0,0.25,1,25.4830705403008,64.880520736181,0.785970905031603,0.750000735721012,0.85,0.802910935527965,0.306788426750442,0.85,0.85,0.900085213430627,0.659396429673766,0.240688783756862,202.090933563845,391.113609408081,354.713694509076,559.986862501099,31.6392172291909,52.793838972608
"tmp.68",70,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.05,0.00104364914033994,0.00000200498273607792,0.05,0.05,0.900085213430627,0.900085104745874,0.000000108684752864185,507.628878365695,507.999287028139,679.611469231474,679.999285041625,61.6938413250334,64.8804478662587
"tmp.69",71,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.1,0.00582506508298443,0.0000249695177609177,0.1,0.1,0.900085213430627,0.900082608117325,0.00000260531330209535,505.928606856491,507.991120839484,677.831438817962,679.99109609997,61.5285083083823,64.8796132336939
"tmp.70",72,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.15,0.0158511521958676,0.000115938390140348,0.15,0.15,0.900085213430627,0.900067497659396,0.0000177157712313303,502.363330279149,507.958772308466,674.098916861384,679.958657438029,61.1818237179881,64.8763070233487
"tmp.71",73,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.2,0.0321161741046062,0.000357310458637805,0.2,0.2,0.900085213430627,0.900013701213932,0.0000715122166954352,496.579488488402,507.872940400908,668.043757883105,679.872586381773,60.6194076533066,64.8675344969995
"tmp.72",74,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.25,0.0553263684699782,0.000878176653813931,0.25,0.25,0.900085213430627,0.899868640938204,0.000216572492423683,488.325943372076,507.687720381904,659.403043005028,679.686850294471,59.8168396488667,64.8486039204418
"tmp.73",75,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.3,0.0859693201189764,0.00186971723720045,0.3,0.3,0.900085213430627,0.899538523484876,0.000546689945751355,477.429309765692,507.335128550452,647.995253649471,679.333276055894,58.7572598725002,64.8125669591306
"tmp.74",76,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.35,0.124341789753957,0.0036059648142214,0.35,0.35,0.900085213430627,0.898867921002517,0.00121729242810986,463.784059563493,506.717718912063,633.709911438886,678.714146163169,57.4304068571578,64.7494640586461
"tmp.75",77,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.4,0.170558606970648,0.0064720448430854,0.4,0.4,0.900085213430627,0.897611242733243,0.00247397069738464,447.349359361238,505.698540853799,616.504267494024,677.692128425434,55.8323099958708,64.6452980599513
"tmp.76",78,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.45,0.22454982702131,0.0110031059740297,0.45,0.45,0.900085213430627,0.895392511303747,0.00469270212688067,428.150081511222,504.087295515635,596.404360917054,676.076393763475,53.9653878559174,64.4806192990308
"tmp.77",79,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.5,0.2860484401191,0.0179388953021642,0.5,0.5,0.900085213430627,0.891647941540129,0.00843727189049848,406.281174693648,501.62092883055,573.509594384294,673.603155177269,51.8388731696229,64.228542101316
"tmp.78",80,0,0,0.3,1,28.5361068866636,64.880520736181,0.780036507833347,0.750000735721012,0.55,0.354568589032339,0.0283018295694745,0.55,0.55,0.900085213430627,0.885542630417999,0.014542583012628,381.9154097401,497.935869405095,548.000843322477,669.907828274494,49.4695660319255,63.8519073296095
