"","rule.id","a.rule","p.rule","qk","qK","tk","tK","AHRk.H1","AHRK.H1","gk","H0.pr.S","H1.pr.S","H0.cpk","H1.cpk","H1.pow.nbind","H1.pow.bind","H1.powloss","H0.AE","H1.AE","H0.AN","H1.AN","H0.AL","H1.AL"
"tmp.96",98,1,1,0.35,1,31.4509985793538,64.880520736181,0.77542898344507,0.750000735721012,0.6,0.538317967864584,0.0548546173056531,0.6,0.6,0.900085213430627,0.870343828639127,0.0297413847914998,330.247407011114,489.887005365673,496.528195294421,662.251495129602,44.6099884351085,63.0467570915574
"tmp.111",113,1,1,0.4,1,34.2601008320446,64.880520736181,0.771725832781983,0.750000735721012,0.5,0.50930736994694,0.0341089307454219,0.5,0.5,0.900085213430627,0.88499544193879,0.0150897714918373,352.763113640173,497.603597908795,521.898258119729,670.049781701375,46.8987096617502,63.8360909542751
"tmp.112",114,1,1,0.4,1,34.2601008320446,64.880520736181,0.771725832781983,0.750000735721012,0.55,0.570338224676029,0.0474931366699851,0.55,0.55,0.900085213430627,0.877077373667164,0.0230078397634633,334.160909118746,493.524091942989,502.952754852977,666.14535644404,45.1214685699957,63.4262609487815
"tmp.127",129,1,1,0.45,1,36.9857170187301,64.880520736181,0.768675554107393,0.750000735721012,0.45,0.549627121034779,0.0311502863277904,0.45,0.45,0.900085213430627,0.888061828408077,0.0120233850225504,354.434182382883,499.296610000015,525.636594178268,671.875116282386,47.1588125411227,64.0115896133249
"tmp.128",130,1,1,0.45,1,36.9857170187301,64.880520736181,0.768675554107393,0.750000735721012,0.5,0.603972555213577,0.0422433171488172,0.5,0.5,0.900085213430627,0.882038824401245,0.0180463890293822,339.250068073326,496.19721718862,510.373616807525,668.981737244122,45.7180655070533,63.7021516959407
"tmp.129",131,1,1,0.45,1,36.9857170187301,64.880520736181,0.768675554107393,0.750000735721012,0.55,0.656366611044713,0.0563353180052555,0.55,0.55,0.900085213430627,0.873693278815874,0.0263919346147529,324.611168874107,492.259912149332,495.658686278476,665.306141228655,44.3290512930309,63.3090580980642
"tmp.142",144,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.35,0.537460631786174,0.0212239169406351,0.35,0.35,0.900085213430627,0.893917595770266,0.006167617660361,371.484999526312,502.609125097079,544.594765130437,675.103593782318,48.8526394922667,64.3449011267126
"tmp.143",145,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.4,0.589403823568723,0.0289054369742159,0.4,0.4,0.900085213430627,0.890525970148827,0.00955924328180069,358.291428813544,500.658019008549,531.508448352562,673.33144952832,47.6081064543264,64.1510456394329
"tmp.144",146,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.45,0.638217169830599,0.0384099415341438,0.45,0.45,0.900085213430627,0.885840874272238,0.0142443391583887,345.892838863028,498.243874850327,519.21064973354,671.13873857146,46.4385629582387,63.9111842116475
"tmp.145",147,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.5,0.684158287263066,0.0501105991989872,0.5,0.5,0.900085213430627,0.879484451009677,0.0206007624209504,334.223795035181,495.271907803457,507.636466568831,668.439370066515,45.3378366362223,63.6158993353216
