"","S","rule","N","B","L","nEvents","tk","tK","AHRk.H1","AHRK.H1","H0.AE","H0.AN","H0.AL","H0AER","H0.ANR","H0ALR","qk","cpk","ahrk","etak","ppk","pr.S","pow.nbind","pow.bind","powloss"
"1","PH(0.75)","Wieand1",680,34,46.9458858275778,508,27.6651095158784,46.9458878732091,0.75,0.75,381,602.009582940384,34.8481857194027,0.75,0.885308210206447,0.742305424747818,0.5,0.315841712736934,1,0,0.025,0.5,0.900087152320222,0.897714899370528,0.00237225294969345
"2","PH(0.75)","KF1",680,34,46.9458858275778,508,27.6651095158784,46.9458878732091,0.75,0.75,381,602.009582940384,34.8481857194027,0.75,0.885308210206447,0.742305424747818,0.5,0.315841712736934,1,0,0.025,0.5,0.900087152320222,0.897714899370528,0.00237225294969345
"3","PH(0.75)","OF1",680,34,46.9458858275778,508,21.6770189764229,46.9458878732091,0.75,0.75,337.180503662426,543.541783652783,31.8831272558325,0.663741148941783,0.799326152430564,0.679146355293676,0.333333333333333,0.600412247991091,0.998310787114205,-0.011,0.0840822487625472,0.504388276587326,0.900087152320222,0.884608002954289,0.0154791493659325
"4","PH(0.75)","Xi1",680,34,46.9458858275778,508,24.161747856553,46.9458878732091,0.75,0.75,298.318006182421,526.534302434792,29.2899197352849,0.587240169650434,0.774315150639401,0.62390812781466,0.4,0.648410483948146,0.933561293918785,-0.49,0.115026844764184,0.687933050582609,0.900087152320222,0.869596440919072,0.0304907114011499
"5","PH(0.75)","CP1AE.PH(0.75)",680,34,46.9458858275778,508,24.881405729721,46.9458878732091,0.75,0.75,299.748514110242,532.055962819447,29.386855405564,0.590056130138272,0.782435239440364,0.625972966267921,0.42,0.64,0.928213251747767,-0.544059616664899,0.114124400505908,0.706799775623669,0.900087152320222,0.870232221706237,0.0298549306139845
"6","PH(0.75)","CP1AE.NPH(3,1.0,0.6938)",680,34,46.9458858275778,508,26.6375408751321,46.9458878732091,0.75,0.75,336.282004874031,567.950526923692,31.83688055427,0.661972450539431,0.835221363123077,0.67816124870239,0.47,0.5,0.955393194489519,-0.352551981892715,0.0650516843609548,0.637787829170885,0.900087152320222,0.888832041539568,0.0112551107806539
"7","PH(0.75)","CP1AE.NPH(3,1.3,0.6295)",680,34,46.9458858275778,508,29.3403409068912,46.9458878732091,0.75,0.75,373.164341144568,606.967705327571,34.2430972410704,0.734575474694031,0.892599566658193,0.72941636178382,0.55,0.31,0.973191508901432,-0.227113556269014,0.0276992118758949,0.589832278457708,0.900087152320222,0.897113836755964,0.00297331556425717
"8","PH(0.75)","CP1AE.NPH(6,1.0,0.623)",680,34,46.9458858275778,508,29.008751604095,46.9458878732091,0.75,0.75,367.45788055517,601.700665290469,33.8696218270846,0.723342284557421,0.884853919544807,0.721460916755954,0.54,0.34,0.96943702113982,-0.257049750530903,0.0325143295198597,0.60142981617952,0.900087152320222,0.896305222658241,0.0037819296619811
"9","NPH(3,1,0.6938)","Wieand1",680,34,47.3436366162301,508,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,381,602.009607368335,34.8481869428928,0.75,0.885308246129905,0.736069077780694,0.5,0.315841712736934,1,0,0.025,0.5,0.900079018096732,0.892324417355605,0.00775460074112655
"10","NPH(3,1,0.6938)","KF1",680,34,47.3436366162301,508,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,381,602.009607368335,34.8481869428928,0.75,0.885308246129905,0.736069077780694,0.5,0.315841712736934,1,0,0.025,0.5,0.900079018096732,0.892324417355605,0.00775460074112655
"11","NPH(3,1,0.6938)","OF1",680,34,47.3436366162301,508,21.4886238225818,47.3424520723639,0.796180969261038,0.750003086505301,337.180503662426,543.541783615567,31.8831272560458,0.663741148941783,0.799326152375833,0.673440604372918,0.333333333333333,0.600412247991091,0.998310787114205,-0.011,0.0840822487625472,0.504388276587326,0.900079018096732,0.858882997752274,0.041196020344458
"12","NPH(3,1,0.6938)","Xi1",680,34,47.3436366162301,508,23.9979394303293,47.3424520723639,0.789387728656264,0.750003086505301,298.318006182421,526.534380552995,29.289923642501,0.587240169650434,0.77431526551911,0.618666535482404,0.4,0.648410483948146,0.933561293918785,-0.49,0.115026844764184,0.687933050582609,0.900079018096732,0.829661884864491,0.0704171332322405
